Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Order Profitable?,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,Ship Status,State,Sub-Category,Days to Ship Actual,Days to Ship Scheduled,Discount,Profit,Quantity,Sales,Sales Forecast
Furniture,Henderson,United States,CG-12520,Claire Gute,8/11/2021,CA-2021-152156,Profitable,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,1,Consumer,11/11/2021,Second Class,Shipped On Time,Kentucky,Bookcases,3,3,0.00%,42,2,262,392
Furniture,Henderson,United States,CG-12520,Claire Gute,8/11/2021,CA-2021-152156,Profitable,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,2,Consumer,11/11/2021,Second Class,Shipped On Time,Kentucky,Chairs,3,3,0.00%,220,3,732,1096
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,12/06/2021,CA-2021-138688,Profitable,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,3,Corporate,16/06/2021,Second Class,Shipped Late,California,Labels,4,3,0.00%,7,2,15,22
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11/10/2020,US-2020-108966,Unprofitable,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,4,Consumer,18/10/2020,Standard Class,Shipped Late,Florida,Tables,7,6,45.00%,-383,5,958,1434
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11/10/2020,US-2020-108966,Unprofitable,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,5,Consumer,18/10/2020,Standard Class,Shipped Late,Florida,Storage,7,6,20.00%,3,2,22,33
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,9/06/2019,CA-2019-115812,Profitable,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,6,Consumer,14/06/2019,Standard Class,Shipped Early,California,Furnishings,5,6,0.00%,14,7,49,73
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,9/06/2019,CA-2019-115812,Profitable,90032,OFF-AR-10002833,Newell 322,West,7,Consumer,14/06/2019,Standard Class,Shipped Early,California,Art,5,6,0.00%,2,4,7,11
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,9/06/2019,CA-2019-115812,Profitable,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,8,Consumer,14/06/2019,Standard Class,Shipped Early,California,Phones,5,6,20.00%,91,6,907,1359
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,9/06/2019,CA-2019-115812,Profitable,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,9,Consumer,14/06/2019,Standard Class,Shipped Early,California,Binders,5,6,20.00%,6,3,19,28
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,9/06/2019,CA-2019-115812,Profitable,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,10,Consumer,14/06/2019,Standard Class,Shipped Early,California,Appliances,5,6,0.00%,34,5,115,172
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,9/06/2019,CA-2019-115812,Profitable,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,11,Consumer,14/06/2019,Standard Class,Shipped Early,California,Tables,5,6,20.00%,85,9,1706,2555
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,9/06/2019,CA-2019-115812,Profitable,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,12,Consumer,14/06/2019,Standard Class,Shipped Early,California,Phones,5,6,20.00%,68,4,911,1365
Office Supplies,Concord,United States,AA-10480,Andrew Allen,15/04/2022,CA-2022-114412,Profitable,28027,OFF-PA-10002365,Xerox 1967,South,13,Consumer,20/04/2022,Standard Class,Shipped Early,North Carolina,Paper,5,6,20.00%,5,3,16,23
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,5/12/2021,CA-2021-161389,Profitable,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,14,Consumer,10/12/2021,Standard Class,Shipped Early,Washington,Binders,5,6,20.00%,133,3,408,611
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22/11/2020,US-2020-118983,Unprofitable,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,15,Home Office,26/11/2020,Standard Class,Shipped Early,Texas,Appliances,4,6,80.00%,-124,5,69,103
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22/11/2020,US-2020-118983,Unprofitable,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,16,Home Office,26/11/2020,Standard Class,Shipped Early,Texas,Binders,4,6,80.00%,-4,3,3,4
Office Supplies,Madison,United States,PK-19075,Pete Kriz,11/11/2019,CA-2019-105893,Profitable,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,17,Consumer,18/11/2019,Standard Class,Shipped Late,Wisconsin,Storage,7,6,0.00%,13,6,666,997
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,13/05/2019,CA-2019-167164,Profitable,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,18,Consumer,15/05/2019,Second Class,Shipped Early,Utah,Storage,2,3,0.00%,10,2,56,83
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27/08/2019,CA-2019-143336,Profitable,94109,OFF-AR-10003056,Newell 341,West,19,Consumer,1/09/2019,Second Class,Shipped Late,California,Art,5,3,0.00%,2,2,9,13
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27/08/2019,CA-2019-143336,Profitable,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,20,Consumer,1/09/2019,Second Class,Shipped Late,California,Phones,5,3,20.00%,16,3,213,320
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27/08/2019,CA-2019-143336,Profitable,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,21,Consumer,1/09/2019,Second Class,Shipped Late,California,Binders,5,3,20.00%,7,4,23,34
